circuitid,raceid,resultid,statusid,alt
3,38,433,4,7
3,38,432,9,7
3,38,431,5,7
3,38,430,30,7
3,38,429,6,7
3,38,428,5,7
3,38,426,12,7
3,38,425,11,7
3,38,424,11,7
3,38,423,11,7
3,38,422,1,7
3,38,421,1,7
3,38,420,1,7
3,38,419,1,7
3,38,418,1,7
3,38,417,1,7
3,38,416,1,7
3,38,415,1,7
3,38,414,1,7
3,38,413,1,7
4,39,441,1,109
4,39,435,1,109
4,39,436,1,109
4,39,437,1,109
4,39,438,1,109
4,39,439,1,109
4,39,442,11,109
4,39,443,11,109
4,39,444,11,109
4,39,445,11,109
4,39,446,11,109
4,39,440,1,109
4,39,447,12,109
4,39,448,12,109
4,39,449,6,109
4,39,450,22,109
4,39,451,31,109
4,39,452,27,109
4,39,453,22,109
4,39,454,32,109
4,39,455,9,109
4,39,456,4,109
6,40,457,1,7
6,40,458,1,7
6,40,459,1,7
6,40,460,11,7
6,40,461,11,7
6,40,462,11,7
6,40,463,11,7
6,40,464,11,7
6,40,465,11,7
6,40,466,11,7
6,40,467,11,7
6,40,468,11,7
6,40,469,5,7
6,40,470,12,7
6,40,471,12,7
6,40,472,12,7
6,40,473,12,7
6,40,474,12,7
6,40,475,30,7
6,40,476,3,7
6,40,477,6,7
6,40,478,3,7
7,41,490,1,13
7,41,479,1,13
7,41,480,1,13
7,41,481,1,13
7,41,482,1,13
7,41,483,1,13
7,41,484,1,13
7,41,485,1,13
7,41,486,1,13
7,41,487,1,13
7,41,488,1,13
7,41,489,1,13
7,41,491,3,13
7,41,492,3,13
7,41,493,33,13
7,41,494,6,13
7,41,495,3,13
7,41,496,3,13
7,41,497,3,13
7,41,498,6,13
7,41,499,2,13
7,41,500,2,13
19,42,501,1,223
19,42,502,1,223
19,42,503,1,223
19,42,504,1,223
19,42,505,1,223
19,42,506,1,223
19,42,507,1,223
19,42,508,1,223
19,42,509,11,223
19,42,510,11,223
19,42,511,11,223
19,42,512,11,223
19,42,513,12,223
19,42,514,12,223
19,42,515,13,223
19,42,516,5,223
19,42,517,34,223
19,42,518,7,223
19,42,519,20,223
19,42,520,4,223
19,42,521,4,223
19,42,522,4,223
8,43,523,1,228
8,43,538,12,228
8,43,544,4,228
8,43,543,4,228
8,43,542,4,228
8,43,541,35,228
8,43,540,6,228
8,43,524,1,228
8,43,525,1,228
8,43,526,1,228
8,43,527,1,228
8,43,528,1,228
8,43,529,1,228
8,43,530,1,228
8,43,539,12,228
8,43,531,1,228
8,43,532,11,228
8,43,533,11,228
8,43,534,11,228
8,43,535,11,228
8,43,536,11,228
8,43,537,11,228
9,44,558,12,153
9,44,545,1,153
9,44,546,1,153
9,44,547,1,153
9,44,548,1,153
9,44,549,1,153
9,44,550,1,153
9,44,551,11,153
9,44,552,11,153
9,44,553,11,153
9,44,554,11,153
9,44,555,11,153
9,44,556,11,153
9,44,557,11,153
9,44,559,12,153
9,44,560,6,153
9,44,561,31,153
9,44,562,26,153
9,44,563,3,153
9,44,564,36,153
9,44,565,5,153
9,44,566,9,153
20,45,572,1,578
20,45,573,1,578
20,45,574,11,578
20,45,575,11,578
20,45,576,11,578
20,45,567,1,578
20,45,568,1,578
20,45,569,1,578
20,45,570,1,578
20,45,571,1,578
20,45,577,11,578
20,45,583,9,578
20,45,578,11,578
20,45,579,11,578
20,45,580,9,578
20,45,581,31,578
20,45,582,4,578
20,45,588,20,578
20,45,587,20,578
20,45,586,20,578
20,45,585,20,578
20,45,584,20,578
11,46,594,1,264
11,46,606,12,264
11,46,607,10,264
11,46,608,3,264
11,46,609,37,264
11,46,610,3,264
11,46,605,12,264
11,46,604,11,264
11,46,603,11,264
11,46,602,11,264
11,46,601,11,264
11,46,600,11,264
11,46,599,11,264
11,46,598,11,264
11,46,597,1,264
11,46,596,1,264
11,46,595,1,264
11,46,593,1,264
11,46,592,1,264
11,46,591,1,264
11,46,590,1,264
11,46,589,1,264
5,47,621,1,130
5,47,616,1,130
5,47,615,1,130
5,47,614,1,130
5,47,613,1,130
5,47,612,1,130
5,47,611,1,130
5,47,628,11,130
5,47,629,11,130
5,47,630,12,130
5,47,631,32,130
5,47,632,9,130
5,47,617,1,130
5,47,618,1,130
5,47,627,11,130
5,47,619,1,130
5,47,620,1,130
5,47,626,11,130
5,47,625,11,130
5,47,624,11,130
5,47,623,11,130
5,47,622,11,130
14,48,650,11,162
14,48,651,11,162
14,48,652,11,162
14,48,653,22,162
14,48,649,11,162
14,48,654,3,162
14,48,633,1,162
14,48,634,1,162
14,48,635,1,162
14,48,636,1,162
14,48,637,1,162
14,48,638,1,162
14,48,639,1,162
14,48,640,1,162
14,48,641,1,162
14,48,642,1,162
14,48,643,1,162
14,48,644,11,162
14,48,645,11,162
14,48,646,11,162
14,48,647,11,162
14,48,648,11,162
13,49,671,11,401
13,49,672,9,401
13,49,673,32,401
13,49,674,9,401
13,49,675,38,401
13,49,676,22,401
13,49,670,11,401
13,49,669,11,401
13,49,668,11,401
13,49,667,11,401
13,49,666,11,401
13,49,665,1,401
13,49,664,1,401
13,49,663,1,401
13,49,662,1,401
13,49,661,1,401
13,49,660,1,401
13,49,659,1,401
13,49,658,1,401
13,49,657,1,401
13,49,656,1,401
13,49,655,1,401
16,50,682,1,583
16,50,684,1,583
16,50,685,1,583
16,50,686,1,583
16,50,687,22,583
16,50,688,11,583
16,50,689,11,583
16,50,690,39,583
16,50,691,4,583
16,50,692,29,583
16,50,693,37,583
16,50,694,40,583
16,50,695,4,583
16,50,696,4,583
16,50,697,3,583
16,50,698,4,583
16,50,677,1,583
16,50,678,1,583
16,50,679,1,583
16,50,680,1,583
16,50,681,1,583
16,50,683,1,583
17,51,710,11,5
17,51,720,23,5
17,51,719,3,5
17,51,718,20,5
17,51,717,20,5
17,51,716,9,5
17,51,715,13,5
17,51,714,12,5
17,51,713,11,5
17,51,712,11,5
17,51,711,11,5
17,51,709,1,5
17,51,708,1,5
17,51,707,1,5
17,51,706,1,5
17,51,705,1,5
17,51,704,1,5
17,51,703,1,5
17,51,702,1,5
17,51,701,1,5
17,51,700,1,5
17,51,699,1,5
18,52,722,1,785
18,52,723,1,785
18,52,724,1,785
18,52,725,1,785
18,52,726,1,785
18,52,727,11,785
18,52,728,11,785
18,52,729,11,785
18,52,730,11,785
18,52,731,11,785
18,52,732,12,785
18,52,733,12,785
18,52,734,13,785
18,52,735,23,785
18,52,736,5,785
18,52,737,3,785
18,52,721,1,785
18,52,738,9,785
18,52,739,5,785
18,52,740,6,785
18,52,741,4,785
18,52,742,4,785
3,53,743,1,7
3,53,744,1,7
3,53,745,1,7
3,53,746,1,7
3,53,747,1,7
3,53,748,1,7
3,53,749,1,7
3,53,750,1,7
3,53,751,1,7
3,53,752,1,7
3,53,753,1,7
3,53,754,11,7
3,53,755,11,7
3,53,756,11,7
3,53,757,11,7
3,53,758,11,7
3,53,759,12,7
3,53,760,14,7
3,53,761,26,7
3,53,762,5,7
3,53,763,9,7
3,53,764,30,7
2,54,765,1,18
2,54,766,1,18
2,54,767,1,18
2,54,768,1,18
2,54,769,1,18
2,54,770,1,18
2,54,771,1,18
2,54,772,1,18
2,54,773,11,18
2,54,774,11,18
2,54,775,12,18
2,54,776,12,18
2,54,777,12,18
2,54,778,13,18
2,54,779,5,18
2,54,780,8,18
2,54,781,26,18
2,54,782,9,18
2,54,783,9,18
2,54,784,9,18
2,54,785,5,18
2,54,786,3,18
1,55,803,3,10
1,55,787,1,10
1,55,788,1,10
1,55,789,1,10
1,55,790,1,10
1,55,791,1,10
1,55,792,1,10
1,55,793,1,10
1,55,794,1,10
1,55,795,1,10
1,55,796,11,10
1,55,797,11,10
1,55,798,12,10
1,55,799,13,10
1,55,800,10,10
1,55,801,26,10
1,55,802,3,10
1,55,804,7,10
1,55,805,3,10
1,55,806,3,10
1,55,807,3,10
1,55,808,3,10
21,56,809,1,37
21,56,810,1,37
21,56,811,1,37
21,56,812,1,37
21,56,813,1,37
21,56,814,1,37
21,56,815,1,37
21,56,816,1,37
21,56,817,1,37
21,56,818,1,37
21,56,819,1,37
21,56,820,1,37
21,56,821,11,37
21,56,822,11,37
21,56,823,11,37
21,56,824,12,37
21,56,825,30,37
21,56,826,20,37
21,56,827,9,37
21,56,828,22,37
21,56,829,38,37
21,56,830,3,37
20,57,831,1,578
20,57,832,1,578
20,57,833,1,578
20,57,834,1,578
20,57,835,1,578
20,57,836,1,578
20,57,837,1,578
20,57,838,1,578
20,57,839,11,578
20,57,840,11,578
20,57,841,11,578
20,57,852,3,578
20,57,842,11,578
20,57,843,11,578
20,57,844,5,578
20,57,845,5,578
20,57,846,9,578
20,57,847,9,578
20,57,848,5,578
20,57,849,6,578
20,57,850,9,578
20,57,851,3,578
4,58,857,1,109
4,58,853,1,109
4,58,854,1,109
4,58,855,1,109
4,58,856,1,109
4,58,858,1,109
4,58,859,11,109
4,58,860,11,109
4,58,861,11,109
4,58,862,11,109
4,58,863,11,109
4,58,864,11,109
4,58,865,11,109
4,58,866,11,109
4,58,867,9,109
4,58,868,13,109
4,58,869,14,109
4,58,870,41,109
4,58,871,5,109
4,58,872,40,109
4,58,873,20,109
4,58,874,30,109
6,59,892,7,7
6,59,883,11,7
6,59,884,11,7
6,59,885,11,7
6,59,886,11,7
6,59,887,11,7
6,59,888,11,7
6,59,889,12,7
6,59,890,13,7
6,59,891,9,7
6,59,882,11,7
6,59,893,3,7
6,59,894,42,7
6,59,895,43,7
6,59,896,10,7
6,59,875,1,7
6,59,876,1,7
6,59,877,1,7
6,59,878,1,7
6,59,879,1,7
6,59,880,1,7
6,59,881,11,7
9,60,910,11,153
9,60,897,1,153
9,60,898,1,153
9,60,899,1,153
9,60,900,1,153
9,60,901,1,153
9,60,902,1,153
9,60,903,1,153
9,60,904,1,153
9,60,905,1,153
9,60,906,11,153
9,60,911,11,153
9,60,907,11,153
9,60,908,11,153
9,60,909,11,153
9,60,918,3,153
9,60,917,3,153
9,60,916,3,153
9,60,915,44,153
9,60,914,13,153
9,60,913,13,153
9,60,912,12,153
7,61,922,1,13
7,61,940,3,13
7,61,939,3,13
7,61,938,5,13
7,61,937,26,13
7,61,936,3,13
7,61,935,31,13
7,61,934,3,13
7,61,933,3,13
7,61,932,14,13
7,61,931,12,13
7,61,930,11,13
7,61,929,11,13
7,61,928,11,13
7,61,927,11,13
7,61,926,11,13
7,61,925,11,13
7,61,924,11,13
7,61,923,1,13
7,61,921,1,13
7,61,920,1,13
7,61,919,1,13
19,62,950,45,223
19,62,941,1,223
19,62,942,1,223
19,62,943,1,223
19,62,944,1,223
19,62,945,1,223
19,62,946,1,223
19,62,947,11,223
19,62,948,11,223
19,62,949,11,223
19,62,951,7,223
19,62,952,5,223
19,62,953,3,223
19,62,954,3,223
19,62,955,3,223
19,62,956,3,223
19,62,957,3,223
19,62,958,3,223
19,62,959,3,223
19,62,960,3,223
19,62,961,3,223
19,62,962,3,223
8,63,984,7,228
8,63,963,1,228
8,63,964,1,228
8,63,965,1,228
8,63,966,1,228
8,63,967,1,228
8,63,968,1,228
8,63,969,1,228
8,63,970,11,228
8,63,971,11,228
8,63,977,12,228
8,63,972,11,228
8,63,973,11,228
8,63,974,11,228
8,63,975,11,228
8,63,976,12,228
8,63,978,13,228
8,63,979,39,228
8,63,980,46,228
8,63,981,23,228
8,63,982,5,228
8,63,983,26,228
10,64,996,11,103
10,64,1006,2,103
10,64,1005,2,103
10,64,1004,3,103
10,64,1003,30,103
10,64,1002,48,103
10,64,1001,23,103
10,64,1000,5,103
10,64,999,3,103
10,64,998,6,103
10,64,997,47,103
10,64,995,11,103
10,64,994,11,103
10,64,993,1,103
10,64,992,1,103
10,64,991,1,103
10,64,990,1,103
10,64,989,1,103
10,64,988,1,103
10,64,987,1,103
10,64,986,1,103
10,64,985,1,103
11,65,1008,1,264
11,65,1009,1,264
11,65,1010,1,264
11,65,1011,11,264
11,65,1012,11,264
11,65,1013,11,264
11,65,1014,49,264
11,65,1015,13,264
11,65,1016,13,264
11,65,1017,14,264
