raceid,circuitid,alt,resultid,statusid
73,3,7,1195,9
73,3,7,1196,5
73,3,7,1197,10
73,3,7,1198,10
74,21,37,1199,1
74,21,37,1200,1
74,21,37,1201,1
74,21,37,1202,1
74,21,37,1203,1
74,21,37,1204,1
74,21,37,1205,1
74,21,37,1206,1
74,21,37,1207,1
74,21,37,1208,11
74,21,37,1209,11
74,21,37,1210,11
74,21,37,1211,12
74,21,37,1212,9
74,21,37,1213,10
74,21,37,1214,30
74,21,37,1215,8
74,21,37,1216,3
74,21,37,1217,2
74,21,37,1218,2
75,4,109,1219,1
75,4,109,1220,1
75,4,109,1221,1
75,4,109,1222,1
75,4,109,1223,1
75,4,109,1224,1
75,4,109,1225,11
75,4,109,1226,11
75,4,109,1227,11
75,4,109,1228,11
75,4,109,1229,46
75,4,109,1230,13
75,4,109,1231,13
75,4,109,1232,5
75,4,109,1233,29
75,4,109,1234,6
75,4,109,1235,20
75,4,109,1236,20
76,6,7,1237,1
76,6,7,1238,1
76,6,7,1239,1
76,6,7,1240,1
76,6,7,1241,1
76,6,7,1242,1
76,6,7,1243,1
76,6,7,1244,1
76,6,7,1245,11
76,6,7,1246,11
76,6,7,1247,11
76,6,7,1248,11
76,6,7,1249,13
76,6,7,1250,15
76,6,7,1251,3
76,6,7,1252,3
76,6,7,1253,3
76,6,7,1254,9
77,20,578,1255,1
77,20,578,1256,1
77,20,578,1257,1
77,20,578,1258,1
77,20,578,1259,1
77,20,578,1260,1
77,20,578,1261,1
77,20,578,1262,1
77,20,578,1263,1
77,20,578,1264,1
77,20,578,1265,3
77,20,578,1266,11
77,20,578,1267,11
77,20,578,1268,11
77,20,578,1269,11
77,20,578,1270,11
77,20,578,1271,12
77,20,578,1272,13
77,20,578,1273,20
77,20,578,1274,3
78,7,13,1275,1
78,7,13,1276,1
78,7,13,1277,1
78,7,13,1278,1
78,7,13,1279,1
78,7,13,1280,11
78,7,13,1281,11
78,7,13,1282,11
78,7,13,1283,11
78,7,13,1284,13
78,7,13,1285,13
78,7,13,1286,23
78,7,13,1287,3
78,7,13,1288,5
78,7,13,1289,23
78,7,13,1290,9
78,7,13,1291,22
78,7,13,1292,9
78,7,13,1293,22
78,7,13,1294,2
79,19,223,1295,1
79,19,223,1296,1
79,19,223,1297,11
79,19,223,1298,11
79,19,223,1299,12
79,19,223,1300,12
79,19,223,1301,54
79,19,223,1302,54
79,19,223,1303,54
79,19,223,1304,54
79,19,223,1305,54
79,19,223,1306,54
79,19,223,1307,54
79,19,223,1308,54
79,19,223,1309,54
79,19,223,1310,54
79,19,223,1311,54
79,19,223,1312,54
79,19,223,1313,54
79,19,223,1314,54
80,8,228,1315,1
80,8,228,1316,1
80,8,228,1317,1
80,8,228,1318,11
80,8,228,1319,11
80,8,228,1320,11
80,8,228,1321,11
80,8,228,1322,11
80,8,228,1323,11
80,8,228,1324,11
80,8,228,1325,11
80,8,228,1326,12
80,8,228,1327,13
80,8,228,1328,14
80,8,228,1329,14
80,8,228,1330,5
80,8,228,1331,29
80,8,228,1332,29
80,8,228,1333,9
80,8,228,1334,32
81,9,153,1335,1
81,9,153,1336,1
81,9,153,1337,1
81,9,153,1338,1
81,9,153,1339,1
81,9,153,1340,1
81,9,153,1341,1
81,9,153,1342,1
81,9,153,1343,1
81,9,153,1344,11
81,9,153,1345,11
81,9,153,1346,11
81,9,153,1347,11
81,9,153,1348,11
81,9,153,1349,11
81,9,153,1350,12
81,9,153,1351,12
81,9,153,1352,13
81,9,153,1353,14
81,9,153,1354,10
82,10,103,1355,1
82,10,103,1356,1
