raceid,year,driverid,max_points
555,1977,219,0
1058,2021,854,0
338,2010,4,37
517,1979,232,0
106,2004,17,7
263,1994,109,1
751,1960,518,0
691,1966,398,0
864,2012,3,41
713,1964,347,2
207,1997,57,4
804,1954,596,0
616,1973,199,11
612,1973,332,5
575,1976,208,0
517,1979,222,24
434,1985,112,0
367,1989,123,24
792,1955,649,0
284,1993,105,0
360,1989,127,4
747,1960,403,4
390,1987,123,2
550,1977,197,1
295,1992,109,0
707,1965,328,33
50,2007,17,10
1105,2023,852,2
858,2011,812,0
244,1995,93,0
806,1954,679,0
614,1973,222,0
515,1979,206,0
724,1963,376,0
552,1977,263,0
462,1983,188,1
372,1988,117,9
380,1988,117,60
777,1957,609,0
184,1999,55,1
760,1959,347,8
1081,2022,1,62
716,1964,429,0
1127,2024,1,35
1018,2019,822,166
815,1953,712,0
516,1979,222,16
340,2010,37,0
817,1952,609,0
1059,2021,841,1
552,1977,231,22
1138,2024,847,155
870,2012,4,164
62,2006,32,1
13,2009,24,0
724,1963,373,42
168,2000,15,6
586,1975,223,16
167,2000,65,0
823,1952,702,0
653,1970,330,0
880,2013,3,0
749,1960,456,0
327,1990,94,0
243,1995,71,23
98,2004,32,0
463,1983,163,43
788,1956,559,8
72,2005,15,8
1112,2023,830,364
315,1991,137,22
524,1979,173,0
805,1954,654,0
236,1996,14,18
799,1954,642,6
722,1963,430,1
686,1967,361,0
604,1974,278,0
600,1974,308,0
768,1958,509,2
196,1998,63,3
747,1960,498,0
689,1967,388,2
477,1982,110,5
556,1977,175,3
532,1978,207,27
757,1959,403,3
601,1974,250,3
783,1957,449,0
599,1974,289,1
1117,2023,807,9
282,1993,118,1
727,1963,386,29
215,1997,82,0
401,1987,117,46
1055,2021,854,0
692,1966,347,0
1042,2020,822,179
793,1955,579,10
167,2000,18,5
839,1950,770,3
847,2011,808,31
805,1954,675,0
425,1985,170,0
820,1952,689,2
780,1957,509,7
763,1959,567,0
967,2016,807,66
366,1989,105,6
857,2011,37,0
753,1960,505,0
534,1978,200,0
813,1953,708,0
547,1977,250,6
34,2008,9,75
969,2017,825,0
45,2007,13,59
723,1963,360,10
513,1979,137,0
1041,2020,840,57
559,1977,229,0
842,2011,10,0
578,1975,232,0
279,1993,65,6
134,2002,14,30
575,1976,285,0
837,1950,658,0
758,1959,511,0
154,2001,30,104
820,1952,513,0
323,1990,95,3
731,1962,430,1
488,1981,217,0
762,1959,462,0
323,1990,88,0
805,1954,613,0
1143,2024,839,23
852,2011,5,0
704,1965,380,0
157,2001,15,12
618,1973,235,12
539,1978,233,2
315,1991,92,4
19,2008,3,6
1065,2021,852,18
567,1976,265,0
1031,2020,830,0
82,2005,33,6
710,1964,394,0
809,1953,555,1.5
151,2001,57,19
811,1953,656,6
454,1983,176,3
360,1989,102,27
821,1952,632,2
105,2004,22,108
485,1981,177,0
278,1993,119,5
482,1982,175,25
367,1989,84,2
783,1957,556,0
572,1976,276,0
682,1967,387,2
989,2018,807,6
729,1962,403,4
463,1983,158,17
447,1984,172,5
680,1967,360,3
945,2015,822,136
760,1959,510,2
540,1978,208,0
984,2017,817,192
1102,2023,844,34
747,1960,356,0
937,2015,825,0
789,1956,620,0
760,1959,403,9
338,2010,17,6
624,1972,199,0
817,1952,720,0
593,1974,304,10
275,1993,104,3
95,2004,17,1
252,1995,92,0
137,2002,22,51
857,2011,30,70
932,2015,807,10
421,1985,110,0
829,1951,661,0
811,1953,642,6
813,1953,581,0
649,1970,238,0
783,1957,580,0
12,2009,69,0
400,1987,158,5
561,1976,255,0
23,2008,13,34
118,2003,49,7
831,1951,699,0
778,1957,356,0
599,1974,250,3
68,2006,32,2
815,1953,680,0
837,1950,555,0
223,1997,76,0
578,1975,223,6
812,1953,619,0
297,1992,57,5
3,2009,22,15
957,2016,1,167
1010,2019,840,2
818,1952,677,0
1059,2021,846,76
825,1951,765,0
6,2009,12,0
836,1950,687,0
714,1964,347,2
399,1987,133,0
811,1953,689,0
811,1953,670,4
571,1976,235,0
540,1978,137,0
302,1992,65,2
860,2012,817,2
826,1951,630,0
589,1975,224,45
261,1994,107,0
555,1977,263,0
957,2016,822,54
978,2017,154,18
788,1956,482,2
438,1984,176,0
882,2013,16,6
136,2002,56,3
891,2013,818,13
164,2000,65,0
951,2016,832,4
362,1989,138,0
250,1995,81,1
486,1981,201,0
668,1968,306,3
603,1974,296,0
561,1976,238,0
824,1952,641,22
1100,2023,1,38
745,1961,480,0
537,1978,222,14
556,1977,178,16
978,2017,836,5
748,1960,529,0
814,1953,615,1.5
687,1967,394,0
26,2008,13,48
830,1951,778,0
641,1971,307,2
764,1959,536,0
931,2015,18,4
625,1972,278,6
898,2013,813,1
592,1974,292,0
790,1956,607,3
758,1959,528,0
461,1983,137,33
15,2009,21,8
120,2003,15,24
963,2016,838,1
787,1956,589,0
664,1969,289,19
128,2002,8,4
503,1980,197,2
1031,2020,846,16
530,1978,219,0
510,1980,117,5
388,1987,77,3
531,1978,230,0
335,1990,102,78
1142,2024,840,24
569,1976,208,0
769,1958,510,0
743,1961,347,2
557,1977,255,20
714,1964,380,0
573,1976,276,0
750,1960,427,0
22,2008,3,8
1029,2019,20,230
584,1975,182,47
126,2002,13,1
1143,2024,832,272
757,1959,552,0
442,1984,112,0
320,1991,105,0
761,1959,517,0
42,2007,18,0
460,1983,193,2
422,1985,105,12
989,2018,838,2
1131,2024,840,17
712,1964,364,10
477,1982,118,0
385,1988,112,0
862,2012,13,0
347,2010,30,38
886,2013,13,49
599,1974,265,0
293,1992,110,2
649,1970,278,14
23,2008,5,15
1141,2024,857,262
78,2005,23,20
798,1955,592,0
659,1969,306,5
757,1959,550,0
915,2014,820,0
814,1953,456,0
734,1962,424,0
775,1958,479,24
747,1960,497,0
1087,2022,848,4
811,1953,613,0
192,1998,55,0
1093,2022,855,6
638,1971,334,0
982,2017,835,8
315,1991,55,14
543,1977,252,0
1064,2021,817,56
499,1980,152,2
1100,2023,822,4
341,2010,9,44
1121,2024,822,0
551,1977,178,3
195,1998,73,0
47,2007,21,17
271,1994,103,4
464,1983,105,10
193,1998,65,1
917,2014,817,214
124,2002,31,6
813,1953,513,0
1085,2022,832,144
949,2016,837,0
607,1973,332,1
143,2001,2,7
855,2011,4,202
16,2009,5,22
167,2000,2,0
890,2013,807,7
821,1952,669,0
696,1966,347,0
152,2001,55,4
488,1981,201,0
495,1981,173,13
1036,2020,848,40
788,1956,593,3
589,1975,221,12
314,1991,99,0
307,1991,100,0
881,2013,822,0
891,2013,20,197
956,2016,835,0
789,1956,622,1.5
231,1996,30,26
652,1970,351,0
430,1985,94,0
78,2005,25,6
599,1974,275,0
275,1993,77,1
748,1960,347,2
483,1981,216,0
880,2013,813,0
1063,2021,4,38
630,1972,314,2
145,2001,4,0
762,1959,477,0
754,1960,512,2
269,1994,81,3
708,1965,404,0
21,2008,8,29
770,1958,479,8
707,1965,406,0
985,2017,18,0
804,1954,659,0
365,1989,84,1
986,2017,815,92
802,1954,577,0
67,2006,33,0
685,1967,374,3
679,1967,340,6
155,2001,35,12
775,1958,585,0
518,1979,136,0
481,1982,210,0
1086,2022,842,16
590,1974,222,0
984,2017,18,0
916,2014,821,0
763,1959,509,6
184,1999,68,0
489,1981,206,0
975,2017,840,2
378,1988,137,13
809,1953,628,0
517,1979,224,1
441,1984,163,15
110,2003,52,0
93,2004,8,1
789,1956,634,0
524,1979,197,14
939,2015,825,0
1144,2024,858,0
913,2014,826,8
627,1972,312,4
101,2004,45,0
69,2006,4,126
251,1995,56,6
590,1974,182,6
173,2000,57,86
489,1981,215,0
581,1975,243,0
1022,2019,8,31
152,2001,50,1
603,1974,326,0
44,2007,4,58
275,1993,30,4
796,1955,478,1
806,1954,650,0
425,1985,112,0
330,1990,138,1
267,1994,103,4
488,1981,218,0
297,1992,79,0
559,1977,270,0
451,1984,177,20.5
1108,2023,839,31
744,1961,453,3
280,1993,70,1
216,1997,22,6
587,1975,229,0
703,1965,370,0
634,1971,314,0
868,2012,814,27
554,1977,231,22
284,1993,102,53
474,1982,202,20
765,1958,579,4
1082,2022,849,0
1056,2021,847,0
661,1969,341,2
220,1997,35,67
504,1980,200,4
832,1951,641,10
382,1988,165,0
1144,2024,862,0
944,2015,815,68
1042,2020,1,256
758,1959,356,15
430,1985,117,56
760,1959,404,3
306,1991,137,6
460,1983,173,0
430,1985,184,0
527,1978,158,0
757,1959,511,0
635,1971,238,9
143,2001,23,2
616,1973,235,12
188,1999,22,19
102,2004,15,46
522,1979,212,0
352,2010,15,0
993,2018,843,1
366,1989,78,0
426,1985,112,0
1127,2024,848,0
930,2015,18,0
562,1976,200,7
255,1995,94,0
763,1959,527,0
961,2016,817,161
625,1972,340,0
963,2016,3,288
444,1984,182,24
403,1987,157,0
359,1989,90,0
497,1981,199,49
421,1985,181,0
497,1981,177,0
828,1951,660,0
378,1988,94,1
79,2005,8,37
623,1972,339,0
410,1986,95,29
375,1988,140,0
503,1980,172,12
553,1977,264,0
538,1978,202,7
742,1961,401,0
436,1984,158,3
1140,2024,860,7
336,1990,90,6
1122,2024,848,0
653,1970,320,1
862,2012,3,25
246,1995,90,0
779,1957,509,7
1116,2023,840,53
350,2010,17,187
1057,2021,1,101
809,1953,518,2
754,1960,532,0
597,1974,238,10
392,1987,137,18
326,1990,103,1
805,1954,676,0
507,1980,178,47
583,1975,230,1
385,1988,158,6
511,1980,203,6
996,2018,842,18
854,2011,16,28
225,1996,44,1
803,1954,577,0
708,1965,362,0
823,1952,755,0
1071,2021,854,0
669,1968,293,0
660,1969,306,11
494,1981,199,45
683,1967,328,10
148,2001,18,0
368,1989,117,75
546,1977,205,0
675,1968,379,0
103,2004,18,65
816,1953,528,0
408,1986,137,15
322,1990,92,0
292,1992,77,8
787,1956,612,0
744,1961,430,0
629,1972,327,9
842,2011,39,0
583,1975,197,1.5
838,1950,766,0
590,1974,280,0
